id,created_at,retweets,likes,replies,quotes,user_followers,user_following,user_listed,user_tweets,has_media,url,lang,text,Weekday,DayOfWeek,Hour
1507544558057385985,2022-03-26 02:26:46+00:00,0,0,0,0,1002,2684,5,20536,True,https://pbs.twimg.com/media/FOvfyH4VEAQvNwj.jpg,en,"@AConcernedPare2 The bigger the agenda the more time and resources are put into creating the problem in the mind of the public. People broken by Covid are less likely to see through climate lies. A video to check out-

https://t.co/fOWpld0iJZ https://t.co/CBJIoV1pHW",Saturday,5,2
1507544527392882688,2022-03-26 02:26:38+00:00,0,0,0,0,2154,4341,4,31834,True,https://pbs.twimg.com/media/FOvfwXJXwAEiRNq.jpg,en,"Lying ass CDC, Now Removes 72,277 people who did not die of Covid-19….yea, we allready knew that, and told them months ago, but were stupid…. https://t.co/Wff97qFK41",Saturday,5,2
1507544458769879041,2022-03-26 02:26:22+00:00,4558,0,0,0,4,104,1,200,True,https://pbs.twimg.com/media/FOfc7pSXsAcfYeq.jpg,en,RT @DonaldJTrumpJr: COVID is going to kill itself!!! https://t.co/4u0W4sovvU,Saturday,5,2
1507544448145641477,2022-03-26 02:26:19+00:00,0,0,0,0,1259,2376,2,39492,True,https://pbs.twimg.com/media/FOvfr6LUcAUS0Kq.jpg,en,"@AuroraO83 @jsdpharmd Let me straighten you out with FACTS and FEELINGS: the vaxxes don't work as anyone who got onecan STILL CONTRACT, SPREAD AND BE SICKENED BY COVID. We are in hyper inflation. Crime has escalated and now we are staring into the abyss of WWIII. All under Biden's watch. https://t.co/eEknFQ5LtP",Saturday,5,2
1507544405531676676,2022-03-26 02:26:09+00:00,0,0,0,0,457,442,0,11194,True,https://pbs.twimg.com/media/FOvfpbmWUActgTK.jpg,en,I love being covid free https://t.co/HUDj3e4XIg https://t.co/keaU8okKAX,Saturday,5,2
1507544388045783042,2022-03-26 02:26:05+00:00,0,0,0,0,64,11,0,149525,True,https://pbs.twimg.com/media/FOvfoYZVUAAesYJ.jpg,en,7 Day US Covid Confirmed Cases by County  For PA   2022-03-22:  Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth #RStats https://t.co/PHGkyHpztJ,Saturday,5,2
1507544382555123713,2022-03-26 02:26:04+00:00,0,0,0,0,10,105,0,5940,True,https://pbs.twimg.com/media/FOvfoHoVEAI9I-4.jpg,en,COVID updates: Every state and territory's coronavirus numbers in one place https://t.co/VPp2rJYlPR https://t.co/u6mFrlqrT6,Saturday,5,2
1507544369242517505,2022-03-26 02:26:01+00:00,0,0,0,0,8007,150,143,2936,True,https://pbs.twimg.com/media/FOvfnWtWQAIdYf5.jpg,en,"The COVID-19 Daily Update is now available on local cases, deaths, and hospitalizations. View the full Deschutes County dashboard: https://t.co/Ji8oIKy095 https://t.co/DzEIKD6uuf",Saturday,5,2
1507544273046196224,2022-03-26 02:25:38+00:00,1,0,0,0,244,47,2,113016,True,https://pbs.twimg.com/media/FOpGZIYVQBAv7GS.jpg,en,"RT @GlobalNational: COVID-19: 895 cases in Saskatchewan reported, deaths increase https://t.co/1JIuMUPZnf https://t.co/d9ihCR2MJa",Saturday,5,2
1507544257623646212,2022-03-26 02:25:34+00:00,28,0,0,0,82,93,0,4274,True,https://pbs.twimg.com/media/FOrbuS5aIAMXe2u.jpg,en,RT @bieunu: Eunwoo saying he survived covid because of our concern he is such a beautiful person 🥺🥺 https://t.co/msqKOzzXIT,Saturday,5,2
